标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
祥店中央天成国贸阳光《正规精装公寓家电齐全拎包入住》,1800,整租,普通住宅,1室0厅1卫,35平米,朝南北,中等装修,第20层/共26层,建发中央天成,祥店,经纪人：
祥店优质大三房 全明格局 看户型图就能知晓是好房子 租金实惠,5000,整租,普通住宅,3室2厅2卫,134平米,朝南北,中等装修,第9层/共15层,幸福生活,祥店,经纪人：
软件园附近 万达SOHO 高层实木家具 2300元拎包入住,2300,整租,普通住宅,1室0厅1卫,44平米,朝南北,中等装修,第27层/共31层,万达广场,湖边水库片,经纪人：
建发中 央天成 2房3千7 全套实木家具 全新装修 全新小区,3700,整租,普通住宅,2室1厅1卫,67平米,朝南北,中等装修,第20层/共25层,建发中央天成,祥店,经纪人：
全新全套SM旁祥店钟央天成3房4500拎包入住建发品质,4500,整租,普通住宅,3室2厅2卫,124平米,朝南北,中等装修,第20层/共28层,建发中央天成,祥店,经纪人：
快乐天地祥店中医院实验二小旁家具齐全3300元3房,3300,整租,普通住宅,2室1厅1卫,70平米,朝南北,毛坯,第25层/共29层,第二城快乐天地,祥店,经纪人：
江头新景园高层两房家具齐全3300,3300,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第15层/共28层,新景园二期,江头北路,经纪人：
五缘湾 特房五缘尚座 双面采光 家具齐全 拎包入住 配套成熟,1800,整租,普通住宅,1室1厅1卫,62平米,朝南北,精装修,第16层/共26层,特房五缘尚座,五缘湾,经纪人：
房东急租免中介费 高档海景小区湖里五缘湾源昌鑫海湾,2000,整租,公寓,1室1厅1卫,35平米,第8层/共13层,,,源昌鑫海湾,钟宅三里,品牌公寓：
智能门锁家电齐全拎包入住,1538,整租,公寓,1室1厅1卫,30平米,第6层/共14层,,,UONE天地,高新技术园,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1338,合租,公寓,3室1厅3卫,20平米,第7层/共14层,,,UONE天地,县后,品牌公寓：
机场附近拎包入住南北通透,1538,整租,公寓,1室1厅1卫,28平米,第4层/共14层,,,UONE天地,高新技术园,品牌公寓：
高新科技园信诚VBO两房适合基友闺蜜,2699,整租,公寓,2室1厅1卫,65平米,第11层/共13层,,,信诚VBO,高新技术园,品牌公寓：
万达公寓D3栋部分家具看小区中庭安静多套可选车位三百,1999,整租,公寓,1室0厅1卫,42平米,朝南北,精装修,第11层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓D3栋部分家具看小区中庭安静多套可选车位三百,1999,整租,公寓,1室0厅1卫,42平米,朝南北,精装修,第11层/共31层,万达SOHO公寓,湖边水库片,经纪人：
sm旁龙门天下中等装修125平4室先到先得,4500,整租,普通住宅,4室2厅2卫,125平米,朝南北,中等装修,第15层/共22层,龙门天下,江头北路,经纪人：
地铁口中铁财富港湾户型2房客厅带阳台随时看房,3700,整租,普通住宅,2室2厅1卫,73平米,朝南北,中等装修,第31层/共31层,中铁财富港湾,江头北路,经纪人：
sm东方巴黎广场三期精装修家具家电齐拎包入住,5100,整租,普通住宅,4室2厅2卫,138平米,朝南北,精装修,第17层/共20层,东方巴黎广场三期,江头北路,经纪人：
城市广场附近3房2厅可办公可居家仅租4800,4800,整租,普通住宅,3室2厅1卫,151平米,朝南北,中等装修,第15层/共27层,东方巴黎广场三期,江头北路,经纪人：
江头吕厝新出3房，豪华欧式装修，看房我就在楼下,4500,整租,普通住宅,3室2厅1卫,96平米,朝南北,豪华装修,第11层/共28层,冠宏花园,江头北路,经纪人：
真实照片，实地拍摄，干净清爽，随时来电看房！,4600,整租,普通住宅,3室2厅2卫,108平米,朝南北,中等装修,第11层/共21层,冠宏花园,江头北路,经纪人：
湖里金尚路林后公交站附近一房一厅40m²,900,整租,普通住宅,1室1厅1卫,40平米,朝南,简单装修,第4层/共8层,安厦公寓,金尚路,个人                                                ：
江头台湾街江浦南里小区正规2房便宜出租家电齐全拎包入住,3200,整租,普通住宅,2室2厅1卫,75平米,朝南北,中等装修,第2层/共7层,江浦南里,江头北路,经纪人：
湖里江头台湾街租赁专盘吕厝嘉盛花园大3房小区带电梯,3300,整租,普通住宅,3室2厅1卫,90平米,朝南北,中等装修,第18层/共18层,嘉盛花园江头,台湾街,经纪人：
华永天地单间带厨房可做饭精装修拎包入住,1700,整租,普通住宅,1室0厅1卫,25平米,朝东,精装修,第11层/共15层,华永天地,江头北路,经纪人：
江头吕厝福隆国际电梯带花园凸窗冠宏花园新景园旁,1800,整租,普通住宅,1室1厅1卫,35平米,朝南北,中等装修,第8层/共16层,福隆国际,江头北路,经纪人：
欧式豪装S，M莲花公园嘉禾路吕厝拎包入住诚意出租,9000,整租,普通住宅,3室2厅3卫,160平米,朝南北,中等装修,第6层/共30层,福隆国际,江头北路,经纪人：
S，M旁莲花公园嘉禾路拎包入住1室，采光好，诚意出租,2300,整租,普通住宅,1室1厅1卫,58平米,朝南北,中等装修,第6层/共30层,福隆国际,江头北路,经纪人：
吕厝地铁口SM旁永同昌大厦出租办公写字楼看房方便,11000,整租,普通住宅,4室1厅1卫,207平米,朝南北,中等装修,第8层/共32层,傲城（永同昌大厦）,SM附近,经纪人：
双地铁口12月运行中装一室一卫采光好1500元/月江头,1500,整租,普通住宅,1室0厅1卫,25平米,朝南,中等装修,第4层/共27层,冠宏花园,江头北路,经纪人：
地铁12月运行中装一室一卫一厨采光好1500元/月江头,1800,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第6层/共27层,冠宏花园,江头北路,经纪人：
地铁沿线精装一室一卫采光好2100元/月湖里sm附近,2100,整租,普通住宅,1室1厅1卫,40平米,朝南,精装修,第18层/共20层,裕兴大厦,江头北路,经纪人：
机场附近拎包入住南北通透,1588,整租,公寓,1室1厅1卫,28平米,第11层/共14层,,,UONE天地,高新技术园,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1588,合租,公寓,3室1厅3卫,30平米,第12层/共14层,,,UONE天地,县后,品牌公寓：
20m²,1288,整租,公寓,1室0厅1卫,20平米,第11层/共14层,,,UONE天地,海天路,品牌公寓：
青友免中介 湖里 台湾街 华永天地2室1厅2900 精装 采光好,2900,整租,公寓,2室1厅1卫,68平米,第12层/共15层,,,华永天地,湖里周边,品牌公寓：
业主免中介，湖里高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,42平米,第8层/共13层,,,力拓大厦,万达广场,品牌公寓：
S，M旁莲花公园嘉禾路拎包入住1室，采光好，诚意出租,2300,整租,普通住宅,1室1厅1卫,58平米,朝南北,中等装修,第6层/共30层,福隆国际,江头北路,经纪人：
吕厝地铁口SM旁永同昌大厦出租办公写字楼看房方便,11000,整租,普通住宅,4室1厅1卫,207平米,朝南北,中等装修,第8层/共32层,傲城（永同昌大厦）,SM附近,经纪人：
双地铁口12月运行中装一室一卫采光好1500元/月江头,1500,整租,普通住宅,1室0厅1卫,25平米,朝南,中等装修,第4层/共27层,冠宏花园,江头北路,经纪人：
地铁12月运行中装一室一卫一厨采光好1500元/月江头,1800,整租,普通住宅,1室0厅1卫,35平米,朝南,中等装修,第6层/共27层,冠宏花园,江头北路,经纪人：
地铁沿线精装一室一卫采光好2100元/月湖里sm附近,2100,整租,普通住宅,1室1厅1卫,40平米,朝南,精装修,第18层/共20层,裕兴大厦,江头北路,经纪人：
地铁沿线东方巴黎广场美小区精装大2房4400元！湖里吕厝,4400,整租,普通住宅,2室2厅1卫,86平米,朝北,中等装修,第11层/共20层,东方巴黎广场三期,江头北路,经纪人：
国贸阳光联发新天地幸福生活《精装三房全套家电拎包入住》,5600,整租,普通住宅,3室2厅2卫,160平米,朝南北,中等装修,第2层/共19层,联发新天地,祥店,经纪人：
紧急行动！2300@大唐YOHO、精装全套、单身公寓、不议价,2300,整租,普通住宅,1室1厅1卫,33平米,朝南,中等装修,第10层/共26层,特易购地产集团,五缘湾,经纪人：
降价降价！实拍照！大唐五缘YOHO、全套精装！、只需2900,2900,整租,普通住宅,1室1厅1卫,33平米,朝南,中等装修,第20层/共26层,大唐五缘YOHO,五缘湾,经纪人：
万达广场高层可看海精装修家具家电齐全拎包入住,2600,整租,普通住宅,1室0厅1卫,44平米,朝南,中等装修,第30层/共31层,厦门万达广场,万达广场,经纪人：
万达公寓小区里面稀缺楼上下店面适合咖啡氧吧花店宠物,4000,整租,普通住宅,2室0厅1卫,48平米,朝南北,中等装修,第1层/共2层,厦门万达广场,万达广场,经纪人：
祥店 建发 时尚 温馨 2室 108.00平朝南,5800,整租,普通住宅,2室2厅2卫,108平米,朝南,精装修,第15层/共25层,建发中央天成,祥店,经纪人：
湖里 湖边水库 万达SOHO高层空房 出租 仅租1600元！,1600,整租,普通住宅,1室0厅1卫,44平米,朝南北,简单装修,第19层/共31层,湖里万达广场,湖边水库片,经纪人：
祥店片区国贸阳光精装3房出租拎包入住仅5600元每月！,5600,整租,普通住宅,3室2厅2卫,132平米,朝南北,简单装修,第1层/共12层,国贸阳光一期,祥店,经纪人：
祥店建发中央天成品质楼中楼3房出租现在仅租4000元！,4000,整租,普通住宅,3室2厅3卫,135平米,朝南北,中等装修,第20层/共28层,建发中央天成,祥店,经纪人：
湖里祥店建发中央天成3房带全套家具出租仅租5600元,5600,整租,普通住宅,3室2厅2卫,119平米,朝东,中等装修,第10层/共27层,建发中央天成,祥店,经纪人：
建发中央天成精装修一室绝对让您一见倾心联发新天地旁,1600,整租,普通住宅,1室0厅0卫,25平米,朝南北,中等装修,第24层/共26层,建发中央天成,祥店,经纪人：
业主急租建发中央天成2+1室正规进来看看不后悔哦,5300,整租,普通住宅,2室2厅2卫,103平米,朝南北,中等装修,第12层/共25层,建发中央天成,祥店,经纪人：
建发中央天成2室贵族享受幸福生活国贸阳光旁,3500,整租,普通住宅,2室1厅1卫,60平米,朝南北,中等装修,第10层/共25层,建发中央天成,祥店,经纪人：
湖里机场附近30m²,1500,整租,公寓,1室1厅1卫,30平米,第4层/共6层,,,青年公寓,机场附近,品牌公寓：
青友品牌公寓出租免中介 BRT双十站力拓新城小区 两房一厅精装配套齐全风格多样公寓（赠送物业宽带  拎包入住 交通便利）,2599,整租,公寓,2室1厅1卫,42平米,第11层/共13层,,,力拓新城,五缘湾,品牌公寓：
BRT县后站旁宏益华府单身公寓905A出租,1550,整租,公寓,1室0厅1卫,25平米,第9层/共13层,,,宏益华府,高新技术园,品牌公寓：
南北通透全新家具全新装修,1538,整租,公寓,1室1厅1卫,30平米,第7层/共14层,,,UONE天地,高新技术园,品牌公寓：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室0厅1卫,22平米,第8层/共13层,,,力拓大厦,高新技术园,品牌公寓：
看了这套房子就想有个家建发中央天成幸福生活旁,3500,整租,普通住宅,2室1厅1卫,70平米,朝南北,中等装修,第3层/共25层,建发中央天成,祥店,经纪人：
祥店快乐天地2房1厅1卫2阳台拎包入住3100元,3100,整租,普通住宅,2室1厅1卫,70平米,朝南北,中等装修,第25层/共29层,快乐天地,金尚路,经纪人：
万科云玺万达旁68平全套家具4300元微信同号请咨询,3800,整租,普通住宅,3室2厅2卫,69平米,朝北,豪华装修,第15层/共28层,万科中心,万达广场,经纪人：
湾悦城建发湾区SOHO、交通方便、高层看湾景、精装修2房！,5000,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第19层/共20层,建发湾区SOHO,五缘湾,经纪人：
特房五缘尚座正规三室出租可办公可住家南北通透拎包入住,5000,整租,普通住宅,3室2厅2卫,130平米,朝北,简单装修,第13层/共28层,特房五缘尚座,五缘湾,经纪人：
吕厝北冠宏花园婚房豪装4房仅租5500,5500,整租,普通住宅,4室2厅2卫,128平米,朝西南,豪华装修,第18层/共27层,冠宏花园,江头北路,经纪人：
吕厝地铁口新景园电梯精装正规一房一厅，拎包入住,2500,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第9层/共28层,新景园二期,江头北路,经纪人：
江头台湾街都市华庭温馨公寓850-1650元包物业费,1150,整租,普通住宅,1室0厅1卫,28平米,朝南北,精装修,第7层/共16层,都市华庭,江头北路,经纪人：
精品外窗单间1000元每月数量有限,990,整租,普通住宅,1室1厅1卫,20平米,朝东,精装修,第2层/共2层,江宁里小区,江头北路,经纪人：
江头吕厝邮电局边新景园多套单身公出租拎包入住欢迎来电,1200,整租,普通住宅,1室1厅1卫,30平米,朝南北,中等装修,第6层/共29层,新景园二期,江头北路,经纪人：
吕厝中闽百汇楼上，全明精装修带大阳台，家电家具齐全拎包入住,1600,整租,普通住宅,1室1厅1卫,40平米,朝南北,精装修,第9层/共31层,福隆国际,江头北路,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨首府高装全套,2900,整租,普通住宅,1室1厅1卫,65平米,朝南北,精装修,第25层/共28层,世茂湖滨首府,湖边水库片,经纪人：
软件园二期湖里万达广场蔡塘世茂湖滨首府高装全套,2900,整租,普通住宅,1室1厅1卫,65平米,朝南北,精装修,第25层/共28层,世茂湖滨首府,湖边水库片,经纪人：
祥店国贸阳光中医院祥店实验二小旁通行便利4500三房,4500,整租,普通住宅,3室2厅2卫,137平米,朝南北,中等装修,第6层/共11层,国贸阳光一期,祥店,经纪人：
祥店单身公寓中医院旁一房一厅1800元错过就没了,1800,整租,普通住宅,1室1厅1卫,48平米,朝南北,中等装修,第11层/共19层,第二城快乐天地,祥店,经纪人：
祥店超划算的82平两房家电齐全厨房超大祥店福满园,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,中等装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
实验二小对面单身公寓家电齐全交通方便随时可以看房,2500,整租,普通住宅,1室1厅1卫,48平米,朝南北,中等装修,第3层/共9层,第二城幸福生活,祥店,经纪人：
祥店中秧天成实验二小对面2房1厅居家带孩子读书不二选择,3200,整租,普通住宅,2室1厅1卫,70平米,朝南北,中等装修,第2层/共25层,建发中央天成,祥店,经纪人：
祥店超划算的82平两房家电齐全厨房超大祥店福满园,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,中等装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室0厅1卫,22平米,第8层/共13层,,,力拓大厦,高新技术园,品牌公寓：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室1厅1卫,32平米,第8层/共13层,,,力拓大厦,机场附近,品牌公寓：
免中介费包物业宽带押一付一多套,1500,整租,公寓,1室1厅1卫,25平米,第4层/共6层,,,中铺社,保税区,品牌公寓：
湖里枋湖金湖路单间便宜出租,1000,整租,公寓,1室0厅1卫,25平米,第1层/共14层,,,禹州城上城,金湖路,品牌公寓：
房东直租包物业宽带金山BRT旁,2100,整租,公寓,2室1厅1卫,50平米,第4层/共5层,,,西潘社区,金山小区,品牌公寓：
幸福密码中等装修2室首次出租，先到先得！,3000,整租,普通住宅,2室2厅1卫,57平米,朝南北,中等装修,第1层/共13层,幸福密码,枋湖,经纪人：
祥店社区幸福生活单间出租起租价800元,800,整租,普通住宅,1室0厅1卫,35平米,朝南北,简单装修,第16层/共25层,第二城幸福生活,祥店,经纪人：
没房子了没有这样你喜欢的房子了亲们不要再错过了,6800,整租,普通住宅,4室2厅2卫,186平米,朝南北,中等装修,第1层/共26层,建发中央天成,祥店,经纪人：
车位出租万科云玺大车位好位置只要500起租,500,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第1层/共2层,万科湖心岛,湖边水库片,经纪人：
急租！祥店精装南北5房高层使用200平国贸阳光幸福二城,11500,整租,普通住宅,5室2厅2卫,168平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
吕厝地铁口单身公寓仅租2200元,2200,整租,普通住宅,1室1厅1卫,37平米,朝南北,中等装修,第4层/共6层,福隆国际,江头北路,经纪人：
【出租】（金山小区附近）新城国际主卧带独立卫生间转租,1580,合租,普通住宅,3室2厅2卫,40平米,朝南北,精装修,第3层/共11层,新城国际,金山小区,个人                                                ：
万达软件园观音山风格各异价格不一单身公寓,1800,整租,公寓,1室1厅1卫,44平米,朝南,精装修,第27层/共31层,万达SOHO公寓,万达广场,经纪人：
S.M江头吕厝福隆国际2房1厅东方巴黎广场旁,4500,整租,普通住宅,2室2厅1卫,90平米,朝南,毛坯,第31层/共31层,福隆国际,江头北路,经纪人：
大千世界，千里难寻，遇到您是我的缘分,2500,整租,公寓,1室1厅1卫,33平米,朝北,精装修,第23层/共24层,大唐五缘YOHO,五缘湾,经纪人：
枋湖禹州城上城精装4房房东自住装修仅6000,6000,整租,普通住宅,4室2厅2卫,137平米,朝南北,豪华装修,第8层/共14层,禹州城上城,金尚路,经纪人：
枋湖凯悦新城精装单间独卫带阳台包物业包宽带,1550,整租,普通住宅,1室0厅1卫,36平米,朝南北,精装修,第7层/共14层,凯悦新城,枋湖,经纪人：
建发湾区SOHO，乐购湾悦城市政BRT，住家出租，看房方便,3800,整租,普通住宅,2室2厅2卫,60平米,朝东,精装修,第11层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区一期开发商全新精装修2+1房建发品质,5600,整租,普通住宅,2室1厅2卫,103平米,朝南北,精装修,第11层/共25层,建发中央湾区,五缘湾,经纪人：
一房一厅水晶森林家具家电齐全看房方便,2500,整租,普通住宅,1室1厅1卫,70平米,朝南北,中等装修,第2层/共9层,水晶森林,枋湖,经纪人：
祥店中央天成国贸阳光《正规精装公寓家电齐全拎包入住》,1800,整租,普通住宅,1室0厅1卫,35平米,朝南北,中等装修,第20层/共26层,建发中央天成,祥店,经纪人：
祥店优质大三房 全明格局 看户型图就能知晓是好房子 租金实惠,5000,整租,普通住宅,3室2厅2卫,134平米,朝南北,中等装修,第9层/共15层,幸福生活,祥店,经纪人：
软件园附近 万达SOHO 高层实木家具 2300元拎包入住,2300,整租,普通住宅,1室0厅1卫,44平米,朝南北,中等装修,第27层/共31层,万达广场,湖边水库片,经纪人：
建发中 央天成 2房3千7 全套实木家具 全新装修 全新小区,3700,整租,普通住宅,2室1厅1卫,67平米,朝南北,中等装修,第20层/共25层,建发中央天成,祥店,经纪人：
青友公寓多地段多户型包物业宽带,1400,整租,公寓,1室0厅1卫,20平米,第26层/共35层,,,融景湾,万达广场,品牌公寓：
BRT旁！全新招租！多套可选！包宽带,1500,整租,公寓,1室1厅1卫,25平米,第4层/共5层,,,西潘社,金山小区,品牌公寓：
青友品牌公寓出租免中介高新技术园宏益华府小区两房一厅精装配套齐全公寓（赠送物业宽带 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,42平米,第6层/共13层,,,宏益华府,机场附近,品牌公寓：
出租湖里高新技术园宏益华府小区 多套房源价格1450-2800元 家电齐全 拎包入住,1450,整租,公寓,1室0厅1卫,20平米,第5层/共13层,,,宏益华府,钟宅三里,品牌公寓：
业主免中介，湖里高新技术园宏益华府,1450,整租,公寓,1室0厅1卫,22平米,第6层/共13层,,,宏益华府,县后,品牌公寓：
快乐天地祥店中医院实验二小旁家具齐全3300元3房,3300,整租,普通住宅,2室1厅1卫,70平米,朝南北,毛坯,第25层/共29层,第二城快乐天地,祥店,经纪人：
江头新景园高层两房家具齐全3300,3300,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第15层/共28层,新景园二期,江头北路,经纪人：
五缘湾 特房五缘尚座 双面采光 家具齐全 拎包入住 配套成熟,1800,整租,普通住宅,1室1厅1卫,62平米,朝南北,精装修,第16层/共26层,特房五缘尚座,五缘湾,经纪人：
五缘YOHO欧装修楼中楼！挑高户型2300全套交通便捷,2300,整租,普通住宅,1室1厅1卫,33平米,朝南,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湾区一区3室2厅2卫103平，精装全套，看房方便~,6800,整租,普通住宅,3室2厅2卫,104平米,朝南北,精装修,第13层/共26层,建发中央湾区一期,五缘湾,经纪人：
紫金家园中等装修家具齐全拎包入住真实图片看房有锁~,6000,整租,普通住宅,3室2厅1卫,106平米,朝南北,中等装修,第8层/共13层,紫金家园,五缘湾,经纪人：
中央湾区旺铺出租无需转让费产权161平挑高6米前排！,26000,整租,普通住宅,5室5厅5卫,100平米,朝南,毛坯,第1层/共2层,建发中央湾区,五缘湾,经纪人：
五缘YOHO温馨两居BRT沿线带阁楼全套家电,2900,整租,普通住宅,1室1厅1卫,47平米,朝南北,中等装修,第9层/共24层,大唐五缘YOHO,五缘湾,经纪人：
特房五缘尚座，精装修，可直接营业，好的位置+好吃的食品赚钱,26000,整租,普通住宅,3室1厅3卫,104平米,朝西,精装修,第1层/共1层,特房五缘尚座,五缘湾,经纪人：
建发湾区高层视野，五缘湾繁华地段，精装修办公高层看湾景，乐购,4000,整租,普通住宅,2室2厅2卫,63平米,朝东西,精装修,第14层/共20层,湾区SOHO,市政务中心,经纪人：
整租！复式楼双层使用全新精装坐拥湾悦城BRT沿线近万达,4500,整租,普通住宅,3室2厅2卫,63平米,朝东,精装修,第18层/共20层,湾区SOHO,市政务中心,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,3500,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
五缘湾建发SOHO住家精装修复式双层落地窗坐拥湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
大唐五缘五缘湾YOHO租一层用两层温馨居家精装拎包入住,2300,整租,普通住宅,1室1厅1卫,33平米,朝东,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
建发湾区SOHO，办公精装，3200繁华地段，湾悦城乐购天虹,3200,整租,普通住宅,2室2厅2卫,53平米,朝西南,精装修,第18层/共20层,湾区SOHO,五缘湾,经纪人：
五缘湾建发SOHO湾悦城租一层用二层价格便宜,4200,整租,普通住宅,2室2厅2卫,60平米,朝东西,精装修,第15层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO高层看湾挑高5米全盘在租性价比高,4300,整租,普通住宅,2室1厅2卫,60平米,朝南,中等装修,第16层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO精装修2房高层看湾景带家具BRT湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第13层/共20层,建发湾区SOHO,五缘湾,经纪人：
整租！复式楼双层使用全新精装坐拥湾悦城BRT沿线近万达,5200,整租,普通住宅,3室2厅2卫,63平米,朝东,精装修,第18层/共20层,湾区SOHO,市政务中心,经纪人：
青友公寓 县后BRT 宏益华府 一房一厅 家具家电齐全 周边配套齐全,1850,整租,公寓,1室1厅1卫,30平米,第6层/共13层,,,宏益华府,机场附近,品牌公寓：
青友公寓 县后BRT 宏益华府 一房一厅 家具家电齐全 周边配套齐全,1850,整租,公寓,1室1厅1卫,30平米,第6层/共13层,,,宏益华府,高新技术园,品牌公寓：
全新家具管家式服务拎包入住,1338,整租,公寓,1室1厅1卫,23平米,第8层/共14层,,,UONE天地,市政务中心,品牌公寓：
业主招租免中介 BRT双十站湖里高新技术园力拓新城小区 两房一厅精装配套齐全风格多样公寓（赠送物业宽带 拎包入住 交通便利）,2999,整租,公寓,2室1厅1卫,52平米,第11层/共13层,,,力拓新城,市政务中心,品牌公寓：
智能门锁家电齐全拎包入住,1438,整租,公寓,1室1厅1卫,28平米,第5层/共14层,,,UONE天地,高新技术园,品牌公寓：
便宜出租湖里万达广场+温馨单间独门独户+万达SOHO。,240,整租,公寓,1室1厅1卫,44平米,朝南,豪华装修,第3层/共31层,万达SOHO公寓,万达广场,经纪人：
的世茂湖滨店面横空出世了！期待你的入驻,14600,整租,普通住宅,3室2厅1卫,144平米,朝南北,毛坯,第1层/共2层,世茂湖滨首府,湖边水库片,经纪人：
万科湖边水库世茂湖滨首府高装3房看湖5800/月,5800,整租,普通住宅,3室2厅2卫,155平米,朝南北,精装修,第14层/共30层,世茂湖滨首府,湖边水库片,经纪人：
万达公寓软件园观音山旁五缘湾田园风格温馨舒适拎包入住长短租,1999,整租,普通住宅,1室0厅1卫,44平米,朝南北,精装修,第7层/共31层,万达SOHO公寓,万达广场,经纪人：
观音山软件园附近万达SOHO公寓出租，楼下就是万达，逛街方便,2000,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第27层/共31层,万达SOHO公寓,万达广场,经纪人：
观音山软件园附近万达SOHO公寓出租，楼下就是万达，逛街方便,2000,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第27层/共31层,万达SOHO公寓,万达广场,经纪人：
观音山软件园万达SOHO公寓各种风格单身公寓价格不一,1800,整租,公寓,1室1厅1卫,44平米,朝南,简单装修,第12层/共31层,万达SOHO公寓,万达广场,经纪人：
祥店建发天成《精装修家电齐全拎包入住》租2900,2900,整租,普通住宅,1室1厅1卫,40平米,朝南,精装修,第23层/共26层,建发中央天成,祥店,经纪人：
湖里嘉园路永升新城三房适合居家地铁口,4100,整租,普通住宅,3室1厅2卫,120平米,朝南北,精装修,第7层/共17层,永升新城,嘉园路,个人                                                ：
软件园旁边宝龙御湖官邸高装3房家具家电齐全,6500,整租,普通住宅,3室2厅2卫,141平米,朝南北,豪华装修,第8层/共11层,宝龙御湖官邸,湖边水库片,经纪人：
湖边水库片区高档装修三房家电齐全随时看房,6700,整租,普通住宅,3室2厅2卫,141平米,朝南北,豪华装修,第7层/共14层,宝龙御湖官邸,湖边水库片,经纪人：
欣华花园1室0厅1卫26.57m²,1600,整租,普通住宅,1室0厅1卫,27平米,朝北,中等装修,第4层/共12层,欣华花园,华荣路,个人                                                ：
大唐五缘yoho精装楼中楼拎包入住BRT沿线,2500,整租,公寓,1室0厅1卫,33平米,朝南,精装修,第11层/共24层,大唐五缘YOHO,五缘湾,经纪人：
大唐五缘yoho精装楼中楼拎包入住BRT沿线,2800,整租,公寓,1室1厅1卫,33平米,朝南,精装修,第8层/共24层,大唐五缘YOHO,五缘湾,经纪人：
建发湾区挑高楼中楼办公装配空调使用面积大配套成熟,4300,整租,公寓,2室2厅1卫,61平米,朝东,精装修,第12层/共20层,建发湾区SOHO,五缘湾,经纪人：
百挑不如一看万达公寓钻石小户型拎包入住,2600,整租,普通住宅,1室1厅1卫,44平米,朝南,中等装修,第10层/共31层,厦门万达广场,万达广场,经纪人：
湖里湖边水库片区宝龙御湖官邸3室,7500,整租,普通住宅,3室2厅2卫,142平米,朝南北,中等装修,第2层/共11层,宝龙御湖官邸,湖边水库片,经纪人：
江头公园附近新景园80平2房2阳台租3300,3300,整租,普通住宅,2室1厅1卫,80平米,朝西南,中等装修,第13层/共25层,新景园,江头北路,经纪人：
正规三房家具家电齐全配套成熟特房山水新座万达商圈,6000,整租,普通住宅,1室0厅0卫,111平米,朝南北,精装修,第4层/共18层,特房山水新座,湖边水库片,经纪人：
个人金山BRT附近融景湾精装两室一厅,2800,整租,公寓,2室1厅1卫,65平米,第6层/共32层,,,融景湾,湖边水库片,品牌公寓：
湖里台湾街25m²,1500,整租,公寓,1室0厅1卫,25平米,第10层/共15层,,,华永天地,台湾街,品牌公寓：
高新技术园UONE天地国企公寓免中介,1500,整租,公寓,3室1厅3卫,31平米,第6层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友品牌公寓出租免中介 BRT县后站宏益华府小区精装配套齐全公寓（赠送物业宽带 拎包入住 交通便利）,1450,整租,公寓,1室0厅1卫,22平米,第6层/共13层,,,宏益华府,市政务中心,品牌公寓：
两房一厅50m²BRT旁,2100,整租,公寓,2室1厅1卫,50平米,第4层/共5层,,,青友西潘公寓,金山小区,品牌公寓：
祥店建发天成《精装修家电齐全拎包入住》租2900,2900,整租,普通住宅,1室1厅1卫,40平米,朝南,精装修,第23层/共26层,建发中央天成,祥店,经纪人：
湖里嘉园路永升新城三房适合居家地铁口,4100,整租,普通住宅,3室1厅2卫,120平米,朝南北,精装修,第7层/共17层,永升新城,嘉园路,个人                                                ：
